ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES
18,Indiana,IN,18121,Parke County,18121,"Parke County, Indiana",444.720883249846,0.6446,0.6777,0.1543,0.7464,0.8654,3.0884,0.7038,0.5784,0.5014,0.4989,0.1499,0.315,2.0436,0.2307,0.0757,0.0757,0.0757,0.3659,0.6892,0.7537,0.8336,0.882,3.5244,0.9472,8.7321,0.6424
18,Indiana,IN,18123,Perry County,18123,"Perry County, Indiana",381.739962075638,0.2545,0.5787,0.1922,0.3633,0.1893,1.578,0.2084,0.4356,0.3761,0.4187,0.1871,0.0856,1.5031,0.0426,0.1457,0.1457,0.1457,0.8031,0.5711,0.7973,0.5829,0.8921,3.6465,0.9682,6.8733,0.3182
18,Indiana,IN,18125,Pike County,18125,"Pike County, Indiana",334.350464760568,0.3328,0.2752,0.048,0.4276,0.0474,1.131,0.1056,0.6542,0.4127,0.399,0.0407,0.0,1.5066,0.0436,0.0264,0.0264,0.0264,0.3373,0.5743,0.3198,0.1833,0.4321,1.8468,0.1944,4.5108,0.0465
18,Indiana,IN,18127,Porter County,18127,"Porter County, Indiana",418.112830329808,0.126,0.3853,0.4941,0.1279,0.1893,1.3226,0.1473,0.293,0.4413,0.1254,0.5103,0.4349,1.8049,0.1152,0.5148,0.5148,0.5148,0.7226,0.2475,0.2393,0.2068,0.5145,1.9307,0.2218,5.573,0.1374
18,Indiana,IN,18129,Posey County,18129,"Posey County, Indiana",409.384788055238,0.126,0.1457,0.203,0.1422,0.055,0.6719,0.0331,0.5453,0.4846,0.1763,0.3029,0.0,1.5091,0.0439,0.0525,0.0525,0.0525,0.4655,0.3296,0.0557,0.2708,0.1798,1.3014,0.0547,3.5349,0.0092
18,Indiana,IN,18131,Pulaski County,18131,"Pulaski County, Indiana",433.674710050008,0.4435,0.3115,0.4874,0.5959,0.4397,2.278,0.4257,0.636,0.4413,0.6624,0.6538,0.1661,2.5596,0.5711,0.1753,0.1753,0.1753,0.4302,0.6414,0.1724,0.7203,0.252,2.2163,0.3573,7.2292,0.3866
18,Indiana,IN,18133,Putnam County,18133,"Putnam County, Indiana",480.53709937027,0.209,0.1457,0.2994,0.3888,0.118,1.1609,0.1129,0.2759,0.237,0.3764,0.3029,0.377,1.5692,0.0554,0.2364,0.2364,0.2364,0.5062,0.3761,0.636,0.2345,0.9583,2.7111,0.6134,5.6776,0.1502
18,Indiana,IN,18135,Randolph County,18135,"Randolph County, Indiana",452.379023368846,0.49,0.6777,0.2243,0.4683,0.434,2.2943,0.4321,0.5953,0.6452,0.839,0.6736,0.377,3.1301,0.881,0.2164,0.2164,0.2164,0.4423,0.3863,0.636,0.5177,0.3299,2.3122,0.4101,7.953,0.5113
18,Indiana,IN,18137,Ripley County,18137,"Ripley County, Indiana",446.427138644512,0.1228,0.2208,0.3735,0.4085,0.4219,1.5475,0.2017,0.4038,0.7117,0.3077,0.4279,0.0856,1.9367,0.1654,0.0544,0.0544,0.0544,0.6694,0.4228,0.6624,0.3939,0.4321,2.5806,0.5447,6.1192,0.2062
18,Indiana,IN,18139,Rush County,18139,"Rush County, Indiana",408.136552721806,0.5848,0.7795,0.4324,0.5078,0.434,2.7385,0.5791,0.4273,0.5444,0.5953,0.1123,0.2475,1.9268,0.1604,0.0525,0.0525,0.0525,0.6351,0.1728,0.1479,0.2879,0.2119,1.4556,0.0843,6.1734,0.2125
18,Indiana,IN,18141,St. Joseph County,18141,"St. Joseph County, Indiana",457.780759847624,0.5119,0.518,0.7289,0.3888,0.412,2.5596,0.5167,0.2189,0.6707,0.2832,0.7238,0.6131,2.5097,0.5358,0.6567,0.6567,0.6567,0.8759,0.0662,0.4311,0.6949,0.7859,2.854,0.6882,8.58,0.6134
18,Indiana,IN,18143,Scott County,18143,"Scott County, Indiana",190.40244066652,0.6602,0.518,0.7556,0.8686,0.2039,3.0063,0.6723,0.2838,0.531,0.9157,0.6538,0.0856,2.4699,0.5052,0.0983,0.0983,0.0983,0.5921,0.6857,0.8116,0.3217,0.4003,2.8114,0.6662,8.3859,0.5807
