segment_id,rrowner1,yardname,passenger,tracks,miles,geometry,annual_estimate
299,LIRC,FALSE,FALSE,1,0.61900741,"MULTILINESTRING ((-85.75219166999995 38.40636157600005, -85.75206555899996 38.40561736300003, -85.75119213199997 38.400463029000036, -85.75079411399997 38.398114219000036, -85.75068425199999 38.397465890000035))",3276
300,LIRC,FALSE,FALSE,1,0.61369613,"MULTILINESTRING ((-85.75235658999998 38.41524687700007, -85.75237462599995 38.41426738500007, -85.75242099899998 38.411749, -85.75242491799997 38.41152059900003, -85.75246248299999 38.40933055800008, -85.752471 38.40883399900008, -85.75245526299994 38.40854751400008, -85.752422 38.407942, -85.75241121699997 38.407852725000055, -85.75233373299994 38.407211188000076, -85.752329 38.407172, -85.75219166999995 38.40636157600005))",3276
309,KBSR,FALSE,FALSE,1,2.68910831,"MULTILINESTRING ((-86.95838045399995 40.44660610200003, -86.94937 40.43663, -86.94803999899995 40.43507, -86.94756999899994 40.4344, -86.94658 40.43266, -86.9441 40.42704, -86.94325999899996 40.42506999900007, -86.94244000099997 40.42331, -86.94203000099998 40.42235999900004, -86.94158999899997 40.42152, -86.9412 40.42096, -86.94074 40.42041, -86.93996999899997 40.41966, -86.93953000099998 40.41931, -86.93907 40.41897, -86.93847999899998 40.41859999900004, -86.93749 40.41809999900005, -86.93672 40.41778, -86.93609 40.41756999900008, -86.93556000099994 40.41742000100004, -86.934190001 40.41715, -86.93366 40.41708, -86.93304000099994 40.41704, -86.93008923199994 40.41697060300004))",260
310,KBSR,FALSE,FALSE,1,4.37409764,"MULTILINESTRING ((-87.02970563399998 40.474318004000054, -87.02702909899995 40.47374670000005, -87.01109829999996 40.470346, -87.00053 40.46809, -86.99456 40.4668, -86.98733999899997 40.46525999900007, -86.98587 40.46486999900003, -86.98518 40.46465, -86.98029 40.46285, -86.97384000099999 40.46045, -86.97234000099996 40.459800001000076, -86.97045 40.45879, -86.96869 40.45758, -86.96721 40.45634, -86.96406 40.4529, -86.96199 40.45063, -86.95838045399995 40.44660610200003))",260
333,INRD,FALSE,FALSE,1,2.62535821,"MULTILINESTRING ((-87.18613253499996 39.067629829000055, -87.18590915299995 39.067045044000054, -87.18541340499996 39.065747240000064, -87.18315141099998 39.05982564200008, -87.18039984999996 39.052622419000045, -87.17834333399998 39.047238727000035, -87.17759858499994 39.04528908000003, -87.17706440899997 39.043890676000046, -87.17624583899999 39.04174776900004, -87.174993 39.038467999000034, -87.17478539699994 39.038027456000066, -87.174698 39.037842, -87.17443250899998 39.03736983500005, -87.174373 39.037264, -87.173997 39.036699, -87.17373065499999 39.036349501000075, -87.173571 39.03614, -87.17330747399996 39.035842236000065, -87.173063 39.035566, -87.172749 39.035248, -87.17263376899996 39.035147118000054, -87.17188704499995 39.03449337700005, -87.17170499899999 39.034334, -87.17075199899995 39.03363999900006, -87.17050777299994 39.03346890500006, -87.16931479499993 39.03263315500004, -87.16927386599997 39.03260448100008, -87.16921738399998 39.032564914000034, -87.16912483299996 39.032500076000076))",208
542,NS,FALSE,FALSE,1,2.01953566,"MULTILINESTRING ((-85.67767333399996 40.26552862800003, -85.67712957399993 40.266466742000034, -85.67695719699998 40.266764135000074, -85.676948 40.26678, -85.676381414 40.26769468100008, -85.67617374799994 40.26802993100006, -85.67611300099998 40.268128001000036, -85.67576900099994 40.268729, -85.67561899899994 40.269038, -85.67534799899994 40.269458, -85.674783156 40.27043183100005, -85.67456284999997 40.270811654000056, -85.67422987499998 40.27138572700005, -85.673786 40.272151, -85.67369743599994 40.27231864400005, -85.673095 40.27345899900007, -85.67148454199997 40.27663215500007, -85.67088139699996 40.27782055700004, -85.67076598399996 40.27804796200007, -85.67052714699997 40.27851855200004, -85.66335188899996 40.292656271000055))",624
624,ISRR,FALSE,FALSE,1,3.50698885,"MULTILINESTRING ((-86.31116 39.66175, -86.30921999899994 39.66331000100007, -86.30322 39.6683, -86.30086 39.6703, -86.29910000099994 39.67168, -86.29731 39.67308, -86.29718 39.67318, -86.293 39.676600001000054, -86.28873 39.68002000100006, -86.28861 39.6801, -86.28502 39.683, -86.27908 39.68780000100003, -86.27533 39.69086, -86.27451 39.69151, -86.27414 39.69181, -86.27249 39.69313, -86.26945000099994 39.69564000100007, -86.26581635399998 39.69857639300005))",208
666,CFE,FALSE,FALSE,1,4.30270505,"MULTILINESTRING ((-86.78308915499997 41.412205620000066, -86.78071025999998 41.41184826600005, -86.75588855999996 41.40811958900008, -86.752889 41.407669, -86.73661935299998 41.405214295000064, -86.72713939699997 41.40378399300005, -86.71720913199994 41.40228575000003, -86.70210499499996 41.40000689400006, -86.70188546699995 41.39997377200007))",832
672,NS,FALSE,FALSE,1,0.17940943,"MULTILINESTRING ((-87.22455398799997 41.52621974500005, -87.22433490999998 41.52617219800004, -87.22382528499998 41.526061595000044, -87.22375548499997 41.526046446000066, -87.22255863899994 41.52574723500004, -87.22218278499997 41.52565327100007, -87.22162185399998 41.52551697000007, -87.22127130599995 41.52540423800008))",4732
705,LIRC,FALSE,FALSE,1,1.69623651,"MULTILINESTRING ((-85.74736195099996 38.342841828000076, -85.74788783599996 38.340057702000024, -85.74925328699999 38.33282873200005, -85.74969772599997 38.33047579300006, -85.74985574699997 38.32963919600007, -85.74987068099995 38.32956012900007, -85.750504144 38.32620645000003, -85.750984 38.323666, -85.75107583399995 38.32311930000003, -85.751112 38.322904, -85.751174 38.322364, -85.75118085299994 38.32224945300004, -85.751226 38.32149500100007, -85.75124619299999 38.320434668000075, -85.75125853199995 38.31978674800007, -85.75127554599999 38.31889334400006, -85.75128359799999 38.31847056000004))",3484
732,LIRC,FALSE,FALSE,1,9.60303897,"MULTILINESTRING ((-85.92990275699998 39.17125787600003, -85.92889587299999 39.16855153700004, -85.92718957099999 39.163965278000035, -85.925721 39.160018001000026, -85.92561450499994 39.15978147900006, -85.925368 39.159234, -85.92517660399994 39.15889762200004, -85.924968 39.15853099900005, -85.92467801199996 39.15811534000005, -85.92439253199996 39.15770614100006, -85.92169599899995 39.153841, -85.91896258699995 39.14996522800004, -85.913971829 39.14288871000008, -85.90895087699994 39.135769382000035, -85.90520427499996 39.130456984000034, -85.89846609399996 39.12090275500003, -85.89570301799995 39.116984924000064, -85.89481532599996 39.11572624400003, -85.89391875999996 39.11445498000006, -85.89340691799998 39.11372922700008, -85.89157724499995 39.11113488900003, -85.89008500099999 39.109019, -85.88989333599994 39.10873448900003, -85.88979599899994 39.10859, -85.889412 39.107895, -85.88938780299998 39.10784098400006, -85.889184 39.107386, -85.88903241399998 39.106952653000064, -85.889007 39.10688, -85.88890422499998 39.10647145300004, -85.888846 39.10624, -85.88883045199998 39.10614822900004, -85.888723 39.105514001000074, -85.888583053 39.10454666500004, -85.88752281799998 39.097218146000046, -85.88692487799995 39.09308508100003, -85.88659399899996 39.090798, -85.88621669499997 39.08822754800008, -85.88568455499995 39.08460226600005, -85.88539300099995 39.082616, -85.88529900099996 39.08197800100004, -85.88516573899994 39.08106061900003, -85.88493662699995 39.07948339500007, -85.88477499799995 39.07837072700005, -85.88472100099995 39.07799900100008, -85.88466300099998 39.077303, -85.88466379999994 39.07725988400006, -85.88467009799996 39.07692018600005, -85.884676 39.076602, -85.88474234499995 39.076032603000044, -85.884767 39.075821, -85.88492500099994 39.075033, -85.88498185199995 39.074780417000056, -85.88577117699998 39.07127351300005, -85.88655926899997 39.06777208600005, -85.88772253199994 39.062603817000024, -85.88780136899999 39.06225355600003, -85.88798951399997 39.06141764000006, -85.88818504999995 39.06054888600005, -85.88903318199993 39.05678071600005, -85.88927777599997 39.05569400100006, -85.88994300999997 39.052738426000076, -85.89145444699994 39.046023251000065, -85.89185339399995 39.044250764000026, -85.892144423 39.04295774700006, -85.89269688699994 39.04050319500004, -85.89269986499994 39.04048997000007))",1404
780,CN,FALSE,FALSE,1,0.36258538,"MULTILINESTRING ((-87.31186378999996 41.599854676000064, -87.30782772299995 41.59895293100004, -87.30515378499996 41.598359721000065))",18356
796,ISRR,FALSE,FALSE,1,2.12474972,"MULTILINESTRING ((-87.50842723099998 38.06441214200004, -87.50712324799997 38.06639206800003, -87.50356109599994 38.071800721000045, -87.50053722399997 38.07639207100004, -87.49996839199997 38.07725576800004, -87.49860305899995 38.07932884300004, -87.49684704199996 38.08199512200008, -87.49448252899998 38.08558532200004, -87.49219420299994 38.08905983900007, -87.49043067899999 38.09173751700007))",520
